version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,31.0192023633678,78f12ad6-55ba-11ec-9e3c-70b5e8d11636,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.5,0,0,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 0 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --y_steps 0 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
1,20.82717872968981,78f12ad6-55ba-11ec-9e3c-70b5e8d11636,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.5,0,0,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 0 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --y_steps 0 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
2,23.63367799113737,78f12ad6-55ba-11ec-9e3c-70b5e8d11636,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.5,0,0,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 0 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --y_steps 0 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
3,32.20088626292467,78f12ad6-55ba-11ec-9e3c-70b5e8d11636,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.5,0,0,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 0 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --y_steps 0 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
4,25.406203840472674,78f12ad6-55ba-11ec-9e3c-70b5e8d11636,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.5,0,0,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 0 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --y_steps 0 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
5,32.348596750369275,78f12ad6-55ba-11ec-9e3c-70b5e8d11636,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.5,0,0,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 0 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --y_steps 0 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
6,27.91728212703102,78f12ad6-55ba-11ec-9e3c-70b5e8d11636,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.5,0,0,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 0 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --y_steps 0 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
7,27.031019202363364,78f12ad6-55ba-11ec-9e3c-70b5e8d11636,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.5,0,0,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 0 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --y_steps 0 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
8,10.635155096011816,78f12ad6-55ba-11ec-9e3c-70b5e8d11636,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.5,0,0,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 0 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --y_steps 0 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
9,28.95125553914328,78f12ad6-55ba-11ec-9e3c-70b5e8d11636,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.5,0,0,True,adam,500,0.001,0.01,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 0 --learning_rate 0.001 --weight_decay 0.01 --dropout 0.5 --y_steps 0 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
