version,test/acc,Name,dataset,data_dir,data_range,val_ratio,test_ratio,feature,mechanism,x_eps,y_eps,model,hidden_dim,dropout,x_steps,y_steps,forward_correction,optimizer,max_epochs,learning_rate,weight_decay,patience,device,seed,repeats,output_dir,log,log_mode,project_name,cmd
0,58.050221565731164,a4b08b58-55b5-11ec-823b-b8cb29ad4aed,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,8,8,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 8 --learning_rate 0.0001 --weight_decay 0 --dropout 0.75 --y_steps 8 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
1,43.72230428360414,a4b08b58-55b5-11ec-823b-b8cb29ad4aed,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,8,8,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 8 --learning_rate 0.0001 --weight_decay 0 --dropout 0.75 --y_steps 8 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
2,49.63072378138848,a4b08b58-55b5-11ec-823b-b8cb29ad4aed,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,8,8,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 8 --learning_rate 0.0001 --weight_decay 0 --dropout 0.75 --y_steps 8 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
3,55.686853766617425,a4b08b58-55b5-11ec-823b-b8cb29ad4aed,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,8,8,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 8 --learning_rate 0.0001 --weight_decay 0 --dropout 0.75 --y_steps 8 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
4,59.97045790251108,a4b08b58-55b5-11ec-823b-b8cb29ad4aed,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,8,8,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 8 --learning_rate 0.0001 --weight_decay 0 --dropout 0.75 --y_steps 8 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
5,58.34564254062038,a4b08b58-55b5-11ec-823b-b8cb29ad4aed,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,8,8,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 8 --learning_rate 0.0001 --weight_decay 0 --dropout 0.75 --y_steps 8 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
6,56.27769571639586,a4b08b58-55b5-11ec-823b-b8cb29ad4aed,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,8,8,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 8 --learning_rate 0.0001 --weight_decay 0 --dropout 0.75 --y_steps 8 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
7,61.44756277695716,a4b08b58-55b5-11ec-823b-b8cb29ad4aed,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,8,8,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 8 --learning_rate 0.0001 --weight_decay 0 --dropout 0.75 --y_steps 8 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
8,61.44756277695716,a4b08b58-55b5-11ec-823b-b8cb29ad4aed,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,8,8,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 8 --learning_rate 0.0001 --weight_decay 0 --dropout 0.75 --y_steps 8 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
9,52.88035450516987,a4b08b58-55b5-11ec-823b-b8cb29ad4aed,cora,./datasets,"(0, 1)",0.25,0.25,raw,mbm,0.01,1.0,gcn,16,0.75,8,8,True,adam,500,0.0001,0.0,0,cpu,12345,10,./results,False,individual,LPGNN,main.py --model gcn --x_eps 0.01 --y_eps 1 --x_steps 8 --learning_rate 0.0001 --weight_decay 0 --dropout 0.75 --y_steps 8 --dataset cora --feature raw --mechanism mbm --forward_correction True -s 12345 -r 10 -o ./results
